id,title,description,categories,tags,image,price,weight,pieces,label,my_order,created_at,updated_at
4,Капа макі,"Норі, рис, огірок",2,7,каппа_макі.jpg,27.0,105,6,,57,2018-04-01 15:56:22,2018-06-06 20:38:26
15,Ікура макі,"Норі, рис, сир плавлений, огірок, ікра лососева.",2,7,12.3_ікура_маки_TcCm29p.jpg,66.0,120,8,,58,2018-04-01 16:39:33,2018-06-26 14:53:32
3,Авокадо макі,"Норі, рис, авокадо",2,6,авокадо_макі.jpg,34.0,105,6,,59,2018-04-01 15:55:03,2018-06-06 20:38:26
25,Унагі рору,"Норі, рис, лосось тереякі, лист салата, огірок, майонез, сир філадельфія, вугор.",2,"1,2,7,8",32._унагі_рору_F9rp6Ex.jpg,114.0,200,8,,60,2018-04-01 17:11:15,2018-06-06 20:38:27
46,Унагі нігірі,"Норі, рис, вугор, унагі соус, кунжут.",3,2,74._унагі_нігірі.jpg,29.0,30,1,,61,2018-04-03 10:17:47,2018-06-06 20:38:27
47,Сяке нігірі,"Рис, лосось",3,1,76._нігірі_сяке.jpg,24.0,30,1,,62,2018-04-03 10:20:41,2018-06-06 20:38:27
48,Магуро нігірі,"Рис,тунець",3,4,78._магуро_нігірі.jpg,27.0,30,1,,63,2018-04-03 10:22:12,2018-06-06 20:38:27
50,Нігірі Кунсей,"Рис, лосось копчений",3,1,76._нігірі_сяке_TF5YglP.jpg,25.0,30,1,,64,2018-04-03 10:25:26,2018-06-06 20:38:27
51,Спайс сяке,"Норі, рис, лосось, спайс соус.",3,1,66._спайсі_сяке_8SKzMsc.jpg,34.0,35,1,1,65,2018-04-03 10:28:59,2018-06-06 20:38:27
52,Спайс магуро,"Норі, рис, тунець, спайс соус.",3,4,67._спайсі_магуро.jpg,35.0,35,1,1,66,2018-04-03 10:30:23,2018-06-06 20:38:27
53,Спайс ебі,"Норі,рис, креветка, спайс ебі",3,3,68._спайсі_ебі.jpg,34.0,35,1,1,67,2018-04-03 10:32:36,2018-06-06 20:38:27
54,Спайс хотате,"Норі, рис, гребінець, спайс соус.",3,5,69._спайсігрибынець.jpg,40.0,35,1,1,68,2018-04-03 10:34:23,2018-06-06 20:38:28
55,Гункан Сівід,"Норі, рис, чука сорадо, горіховий соус.",3,,70.1_гункан_чука.jpg,22.0,35,1,,69,2018-04-03 10:35:57,2018-06-06 20:38:28
56,Гункан Тобіко блек,"Норі, рис, тобіко, масаго.",3,,71._гункан_тобіко_блек.jpg,27.0,35,1,,70,2018-04-03 10:37:14,2018-06-06 20:38:28
57,Гункан Тобіко оранж,"Норі, рис, тобіко.",3,,72._гункан_тобіко_оранж.jpg,27.0,35,1,,71,2018-04-03 10:38:57,2018-06-06 20:38:28
58,Гункан Ікура,"Норі, рис, ікра лососева.",3,,73._1гункан_ікура.jpg,35.0,35,1,,72,2018-04-03 10:40:08,2018-06-06 20:38:28
59,Хот Рол,"Норі, рис, лосось, вугор, авокадо, сир філадельфія, темпура.",4,"1,2,6,8",53._хот_ролл.jpg,123.0,220,8,,73,2018-04-03 10:44:08,2018-10-23 22:53:32
60,Гаряча філадельфія,"Норі, рис, сир філадельфія, лосось, темпура, сухарі панко.",4,"1,8",54._1гаряча_філадельфія.jpg,89.0,180,8,,74,2018-04-03 10:46:25,2018-10-23 22:59:36
61,Хот Темпура,"Норі, рис, сир філадельфія, лосось, креветка, огірок, спайс соус, темпура.",4,"1,3,7,8",55._хот_темпура.jpg,105.0,200,8,1,75,2018-04-03 10:51:55,2018-10-23 23:25:11
62,Хот Чікен,"Норі, рис, курка копчена, лист салата, спайс соус, темпура, сухарі панко.",4,8,56._хот_чікен.jpg,70.0,175,8,1,76,2018-04-03 10:59:23,2018-10-23 22:58:59
63,Осака,"Норі, рис, лосось, вугор, авокадо, темпура  сухарі панко.",4,"1,2,6",57._осака.jpg,114.0,200,8,,77,2018-04-03 11:08:11,2018-06-06 20:38:28
64,Цезар Рол,"Норі, рис, сир філадельфія, бекон, курка копчена, помідор, сухарі  панко, темпура.",4,8,58._цезар_рол.jpg,73.0,200,8,,78,2018-04-03 11:10:31,2018-10-23 23:25:45
65,Лава темпура,"Норі, рис, сир філадельфія, лосось, авокадо, соус лава, темпура, сухарі панко.",4,"1,5,6,8",59.1_Лава-Темпура.jpg,139.0,230,8,,79,2018-04-03 11:13:18,2018-06-06 20:38:28
66,Нагасаки,"Норі, рис, помідор, сир філадельфія, лосось копчений, цибуля зелена, темпура, сухарі панко.",4,"1,8",60._нагасакі.jpg,79.0,200,8,,80,2018-04-03 11:15:08,2018-06-06 20:38:28
67,Ікура Сяке,"Норі, рис, сир філадельфія, лосось, ікра лососева.",2,"1,8",61._ікура_сяке.jpg,110.0,175,8,,81,2018-04-03 11:19:23,2018-10-23 23:33:40
185,М'ясна 32 см,"Тісто, соус, моцарелла, салямі, шинка, баварські ковбаски, трави, пармезан.",7,,450.jpg,135.0,550,8,2,82,2018-07-21 11:12:00,2018-10-23 22:33:12
171,Руколона 32 см,"Тісто, соус, моцарелла, шинка, бекон, ананас, помідор, рукола.",7,8,РУКОЛОНА.jpg,125.0,500,0,2,85,2018-05-14 11:19:08,2018-10-23 22:41:02
78,Вітелія 32 см,"Тісто, моцарелла, вершки, шинка, чорнослив, ананас, трави, пармезан.",7,,вітелія.jpg,115.0,500,8,,86,2018-04-03 19:40:27,2018-10-23 22:40:11
79,Вегетаріанська 32 см,"Тісто, соус, моцарелла, оливки, помідор, початки кукурудзи, шампіньйони, трави.",7,,вегеріанська_MM2EwcZ.jpg,115.0,550,8,,87,2018-04-03 19:45:56,2018-10-23 22:34:06
80,Чотири м'яса 32 см,"Тісто, соус, моцарелла, салямі, бекон, шинка, курка, корнішони, зелена цибуля, трави.",7,,чотири_м_яса.jpg,135.0,550,8,,88,2018-04-03 19:52:17,2018-10-23 22:38:54
81,Мілано 32 см,"Тісто, соус, моцарелла, бекон, салямі, корнішони, шампіньйони, трави.",7,,мілано.jpg,125.0,550,8,,89,2018-04-03 19:58:14,2018-10-23 22:35:16
82,Кватро формаджі 32 см,"Тісто, соус, моцарелла, вершки, сир рікотта, дор блю, пармезан, трави.",7,,4_сири.jpg,155.0,550,8,,90,2018-04-03 20:00:39,2018-10-23 22:39:40
83,Гавайська 32 см,"Тісто, соус, моцарелла, вершки, курка, ананас, трави, пармезан.",7,,гавайська.jpg,119.0,550,8,,91,2018-04-03 20:03:42,2018-10-23 22:33:33
