id,product,count
1,22,2
2,24,1
3,22,2
4,24,1
5,22,2
6,24,1
7,7,1
8,6,1
9,7,1
10,6,1
11,9,1
12,9,2
13,67,1
14,67,1
15,47,1
16,48,1
18,74,1
19,73,1
20,3,1
21,5,1
22,4,1
23,3,1
24,3,1
25,3,1
26,63,1
27,3,1
28,63,1
29,3,1
30,63,1
31,3,1
32,63,1
33,3,1
34,63,1
35,3,1
36,63,1
37,3,1
38,63,1
39,5,1
40,4,1
41,4,1
42,3,1
43,5,1
44,79,1
45,78,1
46,79,1
47,78,1
48,79,1
49,78,1
50,79,1
51,78,1
52,64,1
53,73,1
54,61,1
55,64,1
56,73,1
57,61,1
58,64,1
59,73,1
60,61,1
61,4,1
62,4,1
63,4,1
64,4,1
65,80,1
66,80,1
67,32,1
68,3,1
69,3,1
70,3,1
71,3,1
72,26,1
73,3,4
74,5,1
75,3,4
76,5,1
77,3,4
78,5,2
80,3,1
81,7,1
82,3,1
83,4,1
84,97,1
85,131,1
86,109,1
87,135,1
88,104,3
89,3,1
90,4,1
91,5,1
92,3,1
93,4,1
94,5,1
95,3,2
96,4,2
97,7,1
98,3,1
99,6,1
100,3,1
101,4,1
102,5,1
103,6,1
104,7,1
105,138,1
106,6,1
107,46,1
108,47,1
110,50,1
111,60,1
112,61,4
113,139,1
114,3,1
115,4,1
116,5,1
117,6,1
118,3,1
119,4,1
120,6,1
121,7,1
122,72,1
123,6,1
124,5,1
125,80,1
126,91,1
127,3,1
128,4,1
129,29,1
130,28,1
131,7,1
132,5,1
134,80,1
135,3,1
136,7,1
137,16,2
138,51,1
139,50,1
140,65,1
141,66,1
142,124,1
143,19,1
144,40,1
145,68,1
146,108,1
147,118,1
148,82,1
149,88,1
150,20,1
151,18,1
152,24,1
153,90,1
154,81,1
155,108,2
156,125,1
157,21,1
158,80,1
159,70,1
160,62,1
161,45,1
162,21,1
164,21,1
165,70,1
166,60,1
167,62,1
168,9,1
169,10,1
170,13,1
171,3,1
172,7,1
173,6,1
175,7,1
176,88,1
177,59,1
178,60,1
179,108,1
180,108,1
181,104,1
182,27,1
183,119,1
184,125,1
185,91,1
186,91,1
187,17,1
188,21,2
191,81,1
192,62,1
193,80,1
194,21,1
195,40,1
196,21,1
197,20,1
198,86,1
199,4,1
200,9,1
201,116,1
203,5,1
204,72,1
205,118,1
206,29,1
207,139,1
208,140,1
209,23,1
210,21,1
211,91,1
212,21,1
213,91,1
214,91,1
215,21,1
216,20,1
217,104,1
218,3,1
219,4,1
220,101,1
221,40,1
222,3,1
223,3,2
224,79,1
225,80,1
226,109,1
227,9,1
228,4,1
229,3,1
230,3,1
231,9,1
232,4,1
233,3,2
234,4,1
235,5,1
236,5,1
237,3,2
238,79,1
239,3,3
240,4,1
241,6,1
242,4,1
243,6,1
244,4,1
245,6,1
246,4,1
247,6,1
248,3,1
249,4,1
250,5,1
251,6,1
252,7,1
253,29,1
254,3,1
255,4,1
256,7,1
257,118,1
259,105,1
260,147,1
261,149,1
262,116,1
263,70,1
264,70,1
265,3,1
266,3,1
267,3,1
268,3,2
269,3,1
270,80,1
271,3,1
272,3,1
273,80,1
274,80,1
275,80,1
276,21,1
277,21,1
278,5,1
279,81,1
280,14,1
281,72,1
282,124,1
283,21,1
284,27,1
285,153,1
286,107,1
287,20,1
288,118,1
289,72,2
290,21,1
291,21,1
292,72,1
293,91,1
294,131,1
295,149,1
296,14,1
298,153,1
