id,content,image,show_at_main,show_at_shares,created_at,updated_at
7,"Акція!!! 
3+1=3  замовивши 3 піци в одному чеку і одного розміру,  ви отримуєте 4 піци  одного розміру за ціною трьох! Увага 4- та піца може бути люба з трьох вами обраних. 
5+1=5 замовивши 5 ролів в одному чеку ви отримуєте 6 ролів за ціною 5. Увага 6-тий рол може бути любий з 5-ти вами вибраних.
УВАГА: акційну піцу та роли в чек не пробиваємо, вказуємо їх в примітках на сайті при оформленні замовлення або оператору  по телефону .

АКЦІЇ НЕ СУМУЮТЬСЯ.",300.jpg,1,1,2018-05-29 11:00:36,2018-09-17 11:25:26
10,"ШАНОВНІ КЛІЄНТИ!!!
Вітаємо з наступаючим  Новим Роком та Різдвяними святами!!!
У зв’язку з цим спішимо повідомити про наступні зміни у нашому 
                                      Робочому графіку!
31 грудня  11:00 – 21:00 год ( замовлення приймаємо до 19:00год)
1 січня   вихідний
6 січня   вихідний
7 січня   вихідний
8 січня    вихідний",viегкгber_image.jpg,1,1,2018-12-24 11:18:59,2018-12-24 11:26:33
11,"Акція!!! Замовляйте будь-які 4 страви з нашого меню та отримайте ще одну страву меншої вартості БЕЗКОШТОВНО.
УВАГА!!!! АКЦІЙНУ СТРАВУ ВКАЗУЙТЕ В КОМЕНТАРІ, АБО ОПЕРАТОРУ ПО ТЕЛЕФОНУ.",300см_8KFQlWl.jpg,1,1,2018-12-24 11:28:43,2018-12-24 11:28:43
