id,name,slug,created_at,updated_at
1,Лосось,Лосось,2018-04-01 15:37:57,2018-04-01 15:37:57
2,Вугор,Вугор,2018-04-01 15:38:13,2018-04-01 15:38:13
3,Креветка,Креветка,2018-04-01 15:38:48,2018-04-12 20:13:59
4,Тунець,Тунець,2018-04-01 15:39:11,2018-04-01 15:39:11
5,Гребінець,Гребінець,2018-04-01 15:40:04,2018-04-01 15:40:04
6,Авокадо,Авокадо,2018-04-01 15:40:23,2018-04-01 15:40:23
7,Огірок,Огірок,2018-04-01 15:40:48,2018-04-01 15:40:48
8,Сир,Сир,2018-04-01 15:41:08,2018-04-01 15:41:08
9,Кунжут,Кунжут,2018-04-01 15:42:18,2018-04-01 15:42:18
